Date,Category,Amount,Description
2018-01-01,Shopping,11.11,
2018-01-02,Other,1247.44,
2018-01-02,Other,24.22,
2018-01-03,Other,2298.09,
2018-01-04,Other,11.76,
2018-01-06,Other,18.45,
2018-01-08,Utilities,45.0,
2018-01-08,Other,15.38,
2018-01-09,Entertainment,10.69,
2018-01-10,Other,89.46,
2018-01-11,Transport,34.87,
2018-01-11,Groceries,43.54,
2018-01-12,Other,2000.0,
2018-01-13,Other,32.91,
2018-01-13,Shopping,39.05,
2018-01-15,Groceries,44.19,
2018-01-15,Other,64.11,
2018-01-16,Utilities,35.0,
2018-01-16,Utilities,60.0,
2018-01-19,Other,2000.0,
2018-01-20,Shopping,50.21,
2018-01-22,Other,554.99,
2018-01-22,Other,309.81,
2018-01-22,Other,554.99,
2018-01-22,Other,17.38,
2018-01-23,Other,309.81,
2018-01-24,Other,3.0,
2018-01-25,Other,69.99,
2018-01-29,Transport,30.42,
2018-01-29,Other,25.0,
2018-01-29,Other,17.62,
2018-02-01,Groceries,27.79,
2018-02-01,Shopping,11.11,
2018-02-02,Other,1247.44,
2018-02-02,Other,2000.0,
2018-02-03,Other,57.02,
2018-02-04,Other,11.76,
2018-02-05,Other,145.14,
2018-02-06,Other,154.13,
2018-02-07,Other,154.13,
2018-02-07,Utilities,65.0,
2018-02-09,Other,30.0,
2018-02-09,Entertainment,10.69,
2018-02-10,Other,10.66,
2018-02-11,Other,106.8,
2018-02-12,Transport,36.47,
2018-02-12,Other,89.52,
2018-02-14,Other,14.0,
2018-02-15,Other,10.0,
2018-02-15,Utilities,60.0,
2018-02-16,Other,2000.0,
2018-02-16,Other,8.0,
2018-02-16,Utilities,35.0,
2018-02-20,Groceries,35.95,
2018-02-20,Other,23.51,
2018-02-21,Other,2.0,
2018-02-22,Other,4.0,
2018-02-26,Other,765.37,
2018-02-26,Other,156.11,
2018-02-26,Other,765.37,
2018-02-26,Other,74.99,
2018-02-26,Other,85.52,
2018-02-26,Transport,32.21,
2018-02-27,Other,156.11,
2018-03-01,Groceries,32.07,
2018-03-01,Shopping,13.13,
2018-03-02,Other,1247.44,
2018-03-02,Other,2000.0,
2018-03-03,Groceries,23.74,
2018-03-04,Groceries,10.69,
2018-03-04,Other,11.76,
2018-03-04,Other,42.24,
2018-03-05,Other,3.0,
2018-03-05,Other,761.59,
2018-03-05,Other,761.59,
2018-03-07,Other,3.5,
2018-03-08,Transport,34.9,
2018-03-08,Utilities,52.0,
2018-03-09,Groceries,20.72,
2018-03-09,Groceries,5.09,
2018-03-09,Entertainment,10.69,
2018-03-12,Groceries,19.35,
2018-03-12,Other,89.52,
2018-03-13,Shopping,45.75,
2018-03-14,Groceries,22.5,
2018-03-14,Other,8.49,
2018-03-15,Other,3.5,
2018-03-15,Utilities,60.0,
2018-03-16,Other,2000.0,
2018-03-17,Other,19.5,
2018-03-17,Other,23.34,
2018-03-19,Other,36.48,
2018-03-19,Utilities,35.0,
2018-03-20,Shopping,14.97,
2018-03-22,Transport,30.55,
2018-03-23,Other,559.91,
2018-03-23,Other,559.91,
2018-03-23,Groceries,11.76,
2018-03-26,Other,74.99,
2018-03-28,Groceries,16.06,
2018-03-28,Other,24.98,
2018-03-29,Other,17.64,
2018-03-30,Groceries,9.09,
2018-03-30,Other,2000.0,
2018-03-31,Other,38.32,
2018-03-31,Other,24.74,
2018-03-31,Other,41.16,
2018-04-01,Groceries,80.79,
2018-04-01,Other,59.48,
2018-04-01,Shopping,13.13,
2018-04-02,Other,817.14,
2018-04-02,Other,817.14,
2018-04-02,Groceries,82.36,
2018-04-02,Other,13.89,
2018-04-02,Other,1247.44,
2018-04-03,Other,6.41,
2018-04-04,Other,363.08,
2018-04-04,Other,363.08,
2018-04-04,Other,11.76,
2018-04-06,Transport,4.58,
2018-04-06,Other,9.76,
2018-04-08,Other,22.0,
2018-04-09,Groceries,6.48,
2018-04-09,Entertainment,10.69,
2018-04-09,Utilities,30.0,
2018-04-11,Other,89.52,
2018-04-12,Other,7.0,
2018-04-12,Other,30.0,
2018-04-13,Transport,37.98,
2018-04-13,Other,2000.0,
2018-04-13,Other,10.66,
2018-04-14,Other,11.61,
2018-04-14,Other,41.0,
2018-04-16,Other,75.0,
2018-04-16,Utilities,35.0,
2018-04-18,Utilities,60.0,
2018-04-20,Other,24.22,
2018-04-21,Groceries,4.32,
2018-04-21,Other,35.15,
2018-04-22,Groceries,21.32,
2018-04-23,Other,42.7,
2018-04-24,Other,224.7,
2018-04-24,Shopping,41.34,
2018-04-25,Other,210.79,
2018-04-25,Other,74.99,
2018-04-26,Other,769.72,
2018-04-26,Other,1216.94,
2018-04-26,Other,1216.94,
2018-04-27,Other,769.72,
2018-04-27,Other,2000.0,
2018-04-28,Groceries,22.98,
2018-04-29,Transport,39.0,
2018-04-29,Groceries,51.05,
2018-04-29,Other,68.47,
2018-04-30,Groceries,5.09,
2018-05-01,Shopping,13.13,
2018-05-02,Other,1247.44,
2018-05-03,Shopping,49.72,
2018-05-04,Groceries,42.23,
2018-05-04,Other,11.76,
2018-05-05,Other,7.27,
2018-05-05,Other,20.52,
